element	E_M	E_HO	E_O	E_HOO	E_HOO2	ΔE1(eV)	ΔE2(eV)	ΔE3_HOO(eV)	ΔE4_HOO(eV)	ΔE3_HOO2(eV)	ΔE4_HOO2(eV)	ΔE_HOO−HO(eV)	ΔE_HOO2−HO(eV)									
Rh_pv	-1.31966108 	-12.87206497 	-8.6204544 	-17.20858475 	-17.24220763 	-0.721023890000001 	 0.145456679999998 	 2.38870632999999 	 5.05754367 	 2.35508344999999 	 5.09116655 	 3.10973021999999 	 3.07610734 			-0.721023890000001 	 0.866480569999999 	 2.24324964999999 	 2.04129367000001 	 2.24324964999999 	 1.13324964999999 	-1.13324964999999 
Ru	-2.58622518 	-13.93985192 	-10.10887083 	-18.41598351 	-21.80715817 	-0.522246740000001 	-0.076395650000002 	 2.44787166999999 	 4.99837833 	-0.943302990000003 	 8.38955299 	 2.97011840999999 	-0.421056250000001 			-0.522246740000001 	 0.445851089999999 	 2.52426731999999 	 1.98212833000001 	 2.52426731999999 	 1.41426731999999 	-1.41426731999999 
Ru_pv	-2.58618763 	-13.96109005 	-10.13921167 	-22.05412181 	-21.83748246 	-0.54352242 	-0.106774040000001 	-1.19030418 	 8.63655418 	-0.97366483 	 8.41991483 	-0.646781760000001 	-0.43014241 			-0.54352242 	 0.436748379999999 	-1.08353014 	 5.62030418 	 5.62030418 	 4.51030418 	-4.51030418 
Ru_sv	-2.64960889 	-14.03655467 	-10.2344619 	-22.17791085 	-21.95698994 	-0.55556578 	-0.13860301 	-1.25067196 	 8.69692196 	-1.02975105 	 8.47600105 	-0.695106180000001 	-0.474185270000001 			-0.55556578 	 0.41696277 	-1.11206895 	 5.68067196 	 5.68067196 	 4.57067196 	-4.57067196 
Sb	-1.52590992 	-12.71953086 	-8.15946326 	-16.55535539 	-16.59368959 	-0.362240940000001 	 0.812696659999998 	 3.24818452999999 	 4.19806546999999 	 3.20985032999999 	 4.23639967 	 3.61042547 	 3.57209126999999 			-0.362240940000001 	 1.1749376 	 2.43548786999999 	 1.18181547000001 	 2.43548786999999 	 1.32548786999999 	-1.32548786999999 
Sc_sv	-2.05947126 	-15.29025308 	-11.77026118 	-24.4144647 	-24.4135974 	-2.39940181999999 	-2.26453992 	-4.07736344 	 11.52361344 	-4.07649614 	 11.52274614 	-1.67796162 	-1.67709432 			-2.39940181999999 	 0.13486189999999 	-1.81282352 	 8.50736344 	 8.50736344 	 7.39736344 	-7.39736344 
Sn	-0.71021087 	-12.63449285 	-8.74246222 	-16.58139256 	-16.58081042 	-1.09290198 	-0.58600135 	 2.40644830999999 	 5.03980169 	 2.40703045 	 5.03921954999999 	 3.49935028999999 	 3.49993243 			-1.09290198 	 0.50690063 	 2.99244965999999 	 2.02355169000001 	 2.99244965999999 	 1.88244965999999 	-1.88244965999999 
Sn_d	-0.74155008 	-12.64375518 	-8.72915795 	-16.58771682 	-16.5862018 	-1.0708251 	-0.54135787 	 2.43146325999999 	 5.01478674 	 2.43297827999999 	 5.01327172 	 3.50228835999999 	 3.50380337999999 			-1.0708251 	 0.52946723 	 2.97282112999999 	 1.99853674000001 	 2.97282112999999 	 1.86282112999999 	-1.86282112999999 
Sr_sv	-0.02902518 	-12.23224443 	-6.99583303 	-16.21593536 	-16.21567814 	-1.37183925 	 0.479442149999998 	 2.09071982 	 5.35553018 	 2.09097703999999 	 5.35527296 	 3.46255907 	 3.46281628999999 			-1.37183925 	 1.8512814 	 1.61127767 	 2.33928018 	 2.33928018 	 1.22928018 	-1.22928018 
Ta	-3.77702339 	-16.84086247 	-14.30237222 	-27.4882566 	-27.48955196 	-2.23245908 	-3.07909883 	-5.43360321 	 12.87985321 	-5.43489857 	 12.88114857 	-3.20114412999999 	-3.20243948999999 			-2.23245908 	-0.84663975 	-2.35450438 	 9.86360321 	 9.86360321 	 8.75360321 	-8.75360321 
