element	E_M	E_HO	E_O	E_HOO	E_HOO2	delta_E1(eV)	delta_E2(eV)	delta_E3_HOO(eV)	delta_E4_HOO(eV)	delta_E3_HOO2(eV)	delta_E4_HOO2(eV)	delta_E_HOO−HO(eV)	delta_E_HOO2−HO(eV)													
Pd	-1.47428685 	-11.9148156 	-6.73423993 	-16.47449303 	-16.47637105 	 0.390851249999999 	 2.18629691999999 	 3.27742381999999 	 4.16882618 	 3.27554579999999 	 4.1707042 	 2.88657256999999 	 2.88469454999999 			 0.390851249999999 	 1.79544566999999 	 1.0911269 	 1.64257618000001 				 1.15257618000001 	 1.79544566999999 	 0.685445669999991 	-0.685445669999991 
Pd_pv	-1.49664748 	-11.92042213 	-6.73632541 	-16.31768126 	-16.48123853 	 0.407605349999999 	 2.20657206999999 	 3.45659621999999 	 3.98965378 	 3.29303894999999 	 4.15321104999999 	 3.04899086999999 	 2.8854336 			 0.407605349999999 	 1.79896671999999 	 1.25002415 	 1.46340378000001 				 0.97340378000001 	 1.79896671999999 	 0.688966719999991 	-0.688966719999991 
Pt	-0.55586257 	-11.8770213 	-7.48454919 	-16.3322574 	-16.339034 	-0.489778729999999 	 0.517563379999998 	 2.50123516999999 	 4.94501483 	 2.49445856999999 	 4.95179143 	 2.99101389999999 	 2.98423729999999 			-0.489778729999999 	 1.00734211 	 1.98367178999999 	 2.41876483000001 				 1.92876483000001 	 2.41876483000001 	 1.30876483000001 	-1.30876483000001 
Pt_pv	-0.55113866 	-11.9229092 	-7.5626081 	-16.38887612 	-16.3937364 	-0.54039054 	 0.434780559999999 	 2.43989253999999 	 5.00635746 	 2.43503225999999 	 5.01121774 	 2.98028307999999 	 2.97542279999999 			-0.54039054 	 0.975171099999999 	 2.00511197999999 	 2.48010746000001 				 1.99010746000001 	 2.48010746000001 	 1.37010746000001 	-1.37010746000001 
Rh	-1.56042884 	-12.85559534 	-8.67082076 	-17.37259712 	-17.40043681 	-0.463786500000001 	 0.335858079999999 	 2.46546172 	 4.98078827999999 	 2.43762203 	 5.00862796999999 	 2.92924822 	 2.90140853 			-0.463786500000001 	 0.79964458 	 2.12960364 	 2.45453828 				 1.96453828 	 2.45453828 	 1.34453828 	-1.34453828 
Rh_pv	-1.28060796 	-12.8370274 	-8.67406678 	-17.36967949 	-17.39495299 	-0.725039440000001 	 5.27911799999989E-02 	 2.18855847 	 5.25769153 	 2.16328496999999 	 5.28296503 	 2.91359791 	 2.88832441 			-0.725039440000001 	 0.77783062 	 2.13576729 	 2.73144153 				 2.24144153 	 2.73144153 	 1.62144153 	-1.62144153 
Ru	-2.47314641 	-13.86033537 	-10.1207084 	-18.47490402 	-21.87035017 	-0.55580896 	-0.20131199 	 2.27587239 	 5.17037761 	-1.11957375999999 	 8.56582376 	 2.83168135 	-0.563764799999997 			-0.55580896 	 0.35449697 	 2.47718438 	 2.64412761 				 2.15412761 	 2.64412761 	 1.53412761 	-1.53412761 
Ru_pv	-2.4742555 	-13.88017999 	-10.14835366 	-18.50330417 	-22.22253223 	-0.574544490000001 	-0.22784816 	 2.24858132999999 	 5.19766867 	-1.47064673 	 8.91689673 	 2.82312581999999 	-0.896102240000001 			-0.574544490000001 	 0.346696330000001 	 2.47642948999999 	 2.67141867000001 				 2.18141867000001 	 2.67141867000001 	 1.56141867000001 	-1.56141867000001 
Ru_sv	-2.30771375 	-13.95571007 	-10.24515002 	-22.34674315 	-22.34901468 	-0.816616320000001 	-0.491186270000001 	-1.7613994 	 9.2076494 	-1.76367093 	 9.20992093 	-0.94478308 	-0.947054609999998 			-0.816616320000001 	 0.32543005 	-1.27021313 	 6.6813994 				 6.1913994 	 6.6813994 	 5.5713994 	-5.5713994 
Sb	-1.43054413 	-12.63132618 	-8.18517403 	-16.62936575 	-16.65441029 	-0.369402050000001 	 0.691620099999998 	 3.07880837999999 	 4.36744162 	 3.05376383999999 	 4.39248616 	 3.44821042999999 	 3.42316588999999 			-0.369402050000001 	 1.06102215 	 2.38718827999999 	 1.84119162000001 				 1.35119162000001 	 2.38718827999999 	 1.27718827999999 	-1.27718827999999 
