element	E_M	E_HO	E_O	E_HOO	E_HOO2	delta_E1(eV)	delta_E2(eV)	delta_E3_HOO(eV)	delta_E4_HOO(eV)	delta_E3_HOO2(eV)	delta_E4_HOO2(eV)	delta_E_HOO_HO(eV)	delta_E_HOO2_HO(eV)									
Pd_pv	-1.49667175 	-11.78710059 	-6.11253159 	-16.23058519 	-16.4209057 	 0.540951159999998 	 2.83039015999999 	 3.54371656 	 3.90253343999999 	 3.35339605 	 4.09285394999999 	 3.0027654 	 2.81244489 			 0.540951159999998 	 2.28943899999999 	 0.71332640000001 	 0.88628344 	 2.28943899999999 	 1.17943899999999 	-1.17943899999999 
Pt	-0.18653489 	-11.66920439 	-6.79440288 	-16.19090532 	-16.20448308 	-0.6512895 	 0.838382009999999 	 2.27325957 	 5.17299042999999 	 2.25968181 	 5.18656818999999 	 2.92454907 	 2.91097131 			-0.6512895 	 1.48967151 	 1.43487756 	 2.15674043 	 2.15674043 	 1.04674043 	-1.04674043 
Pt_pv	-0.17981506 	-11.70672661 	-6.87416732 	-16.24153969 	-16.25341728 	-0.695531550000001 	 0.751897739999999 	 2.21590536999999 	 5.23034463 	 2.20402777999999 	 5.24222222 	 2.91143692 	 2.89955932999999 			-0.695531550000001 	 1.44742929 	 1.46400762999999 	 2.21409463000001 	 2.21409463000001 	 1.10409463000001 	-1.10409463000001 
Re	-1.06123794 	-14.15508261 	-11.9457904 	-24.70651325 	-24.70494705 	-2.26246467 	-3.43830246 	-5.36764531 	 12.81389531 	-5.36607911 	 12.81232911 	-3.10518064 	-3.10361444 			-2.26246467 	-1.17583779 	-1.92934285 	 9.79764531 	 9.79764531 	 8.68764531 	-8.68764531 
Rh	-0.94761004 	-12.29066705 	-7.68612886 	-17.08639837 	-17.08699886 	-0.511677009999999 	 0.707731179999998 	 2.13884166999999 	 5.30740833 	 2.13824117999999 	 5.30800882 	 2.65051867999999 	 2.64991818999999 			-0.511677009999999 	 1.21940819 	 1.43111048999999 	 2.29115833000001 	 2.29115833000001 	 1.18115833000001 	-1.18115833000001 
Rh_pv	-0.96689785 	-12.30567451 	-7.71320969 	-16.9449392 	-17.11102553 	-0.507396659999999 	 0.699938159999998 	 2.29958864999999 	 5.14666135 	 2.13350231999999 	 5.31274767999999 	 2.80698530999999 	 2.64089897999999 			-0.507396659999999 	 1.20733482 	 1.59965048999999 	 2.13041135000001 	 2.13041135000001 	 1.02041135000001 	-1.02041135000001 
Ru	-0.47133382 	-12.60468604 	-8.98796032 	-17.77389393 	-22.09635749 	-1.30197222 	-1.0703765 	 0.97506989 	 6.47118011 	-3.34739366999999 	 10.79364367 	 2.27704211 	-2.04542144999999 			-1.30197222 	 0.23159572 	 2.04544639 	 3.45493011 	 3.45493011 	 2.34493011 	-2.34493011 
Ru_pv	-0.48154153 	-12.63799119 	-9.10368852 	-17.87982428 	-22.13272504 	-1.32506966 	-1.17589699 	 0.879347249999998 	 6.56690275 	-3.37355351 	 10.81980351 	 2.20441690999999 	-2.04848385 			-1.32506966 	 0.14917267 	 2.05524424 	 3.55065275 	 3.55065275 	 2.44065275 	-2.44065275 
Ru_sv	-0.52602323 	-12.70835453 	-9.20729162 	-17.9902036 	-22.25440603 	-1.3509513 	-1.23501839 	 0.813449629999997 	 6.63280037 	-3.4507528 	 10.8970028 	 2.16440092999999 	-2.0998015 			-1.3509513 	 0.11593291 	 2.04846802 	 3.61655037 	 3.61655037 	 2.50655037 	-2.50655037 
Sb	-0.09276114 	-12.03469209 	-8.03964988 	-16.44517753 	-16.28157524 	-1.11055095 	-0.500638740000001 	 1.92521361 	 5.52103638999999 	 2.0888159 	 5.35743409999999 	 3.03576456 	 3.19936685 			-1.11055095 	 0.609912209999999 	 2.42585235 	 2.50478639 	 2.50478639 	 1.39478639 	-1.39478639 
Sc_sv	-1.77967594 	-15.1800269 	-11.64244547 	-24.55261744 	-24.5516135 	-2.56897095999999 	-2.41651953 	-4.4953115 	 11.9415614999999 	-4.49430755999999 	 11.9405575599999 	-1.92634054 	-1.92533659999999 			-2.56897095999999 	 0.15245142999999 	-2.07879197 	 8.9253115 	 8.9253115 	 7.8153115 	-7.8153115 
Sn	-0.07704514 	-12.33072677 	-8.79339058 	-16.52147199 	-18.34364809 	-1.42230163 	-1.27009544 	 1.83320314999999 	 5.61304685 	 1.10270499999991E-02 	 7.43522295 	 3.25550478 	 1.43332868 			-1.42230163 	 0.15220619 	 3.10329858999999 	 2.59679685000001 	 3.10329858999999 	 1.99329858999999 	-1.99329858999999 
Sn_d	-0.09992565 	-12.3356841 	-8.78545539 	-16.5247164 	-18.3361702 	-1.40437845 	-1.23927974 	 1.85283924999999 	 5.59341075 	 4.13854499999963E-02 	 7.40486455 	 3.2572177 	 1.44576389999999 			-1.40437845 	 0.16509871 	 3.09211898999999 	 2.57716075000001 	 3.09211898999999 	 1.98211898999999 	-1.98211898999999 
Sr_sv	-0.02824815 	-11.99087227 	-6.91873419 	-16.20287822 	-16.20394516 	-1.13124412 	 0.555763959999998 	 2.10299992999999 	 5.34325007 	 2.10193298999999 	 5.34431701 	 3.23424405 	 3.23317710999999 			-1.13124412 	 1.68700808 	 1.54723596999999 	 2.32700007000001 	 2.32700007000001 	 1.21700007000001 	-1.21700007000001 
Ta	-2.23588308 	-16.01494749 	-13.97347353 	-27.52379579 	-27.52433032 	-2.94768441 	-4.29134045 	-7.01028271 	 14.45653271 	-7.01081724 	 14.45706724 	-4.0625983 	-4.06313283 			-2.94768441 	-1.34365604 	-2.71894226 	 11.44028271 	 11.44028271 	 10.33028271 	-10.33028271 
Tc_pv	-0.15288791 	-13.10137208 	-10.61608131 	-23.67973628 	-23.67791393 	-2.11710417 	-3.0169434 	-5.24921837 	 12.69546837 	-5.24739602 	 12.69364602 	-3.1321142 	-3.13029184999999 			-2.11710417 	-0.89983923 	-2.23227497 	 9.67921837 	 9.67921837 	 8.56921837 	-8.56921837 
Ti	 1.6861609 	-12.02150638 	-8.22631775 	-16.2410237 	-16.2408891 	-2.87628727999999 	-2.46622865 	 0.350445399999998 	 7.0958046 	 0.350579999999997 	 7.09567 	 3.22673267999999 	 3.22686727999999 			-2.87628727999999 	 0.41005862999999 	 2.81667405 	 4.0795546 	 4.0795546 	 2.9695546 	-2.9695546 
Ti_pv	 0.9367735 	-12.18937432 	-8.65382252 	-21.36701479 	-21.3657912 	-2.29476782 	-2.14434602 	-4.02615829 	 11.4724082899999 	-4.0249347 	 11.4711847 	-1.73139047 	-1.73016688 			-2.29476782 	 0.1504218 	-1.88181227 	 8.45615829 	 8.45615829 	 7.34615829 	-7.34615829 
Ti_sv	 0.89026663 	-12.251103 	-8.82416527 	-21.63069595 	-21.62920828 	-2.30998963 	-2.2681819 	-4.24333258 	 11.68958258 	-4.24184491 	 11.68809491 	-1.93334295 	-1.93185528 			-2.30998963 	 4.18077299999999E-02 	-1.97515068 	 8.67333258 	 8.67333258 	 7.56333258 	-7.56333258 
V_sv	 0.43335902 	-12.50258512 	-9.00583792 	-21.78851596 	-21.78878012 	-2.10456414 	-1.99294693999999 	-3.94424498 	 11.39049498 	-3.94450914 	 11.3907591399999 	-1.83968084 	-1.839945 			-2.10456414 	 0.11161720000001 	-1.95129804000001 	 8.37424498 	 8.37424498 	 7.26424498 	-7.26424498 
W_sv	-1.68022388 	-15.14857398 	-13.22013414 	-26.25900143 	-26.25849619 	-2.6369701 	-4.09366026 	-6.30114755 	 13.74739755 	-6.30064231 	 13.74689231 	-3.66417745 	-3.66367220999999 			-2.6369701 	-1.45669016 	-2.20748729 	 10.73114755 	 10.73114755 	 9.62114755 	-9.62114755 
Y_sv	-1.94974015 	-15.87980688 	-11.89421522 	-24.60615736 	-24.60748598 	-3.09868673 	-2.49822507 	-4.37878721 	 11.82503721 	-4.38011583 	 11.82636583 	-1.28010048 	-1.2814291 			-3.09868673 	 0.60046166 	-1.88056214 	 8.80878721 	 8.80878721 	 7.69878721 	-7.69878721 
Zn	-0.01074649 	-9.49379264 	-3.82466947 	-13.70286062 	-13.70146859 	 1.34833384999999 	 3.63232701999999 	 4.58551587 	 2.86073412999999 	 4.5869079 	 2.85934209999999 	 3.23718202 	 3.23857405 			 1.34833384999999 	 2.28399317 	 0.95318885000001 	-0.15551587 	 2.28399317 	 1.17399317 	-1.17399317 
Zr_sv	-1.39024301 	-15.28516119 	-12.58250162 	-25.83386671 	-25.8346055 	-3.06353818 	-3.74600861 	-6.1659937 	 13.6122436999999 	-6.16673249 	 13.6129824899999 	-3.10245552 	-3.10319431 			-3.06353818 	-0.68247043 	-2.41998509 	 10.5959937 	 10.5959937 	 9.4859937 	-9.4859937 
