element	E_M	E_HO	E_O	E_HOO	E_HOO2	delta_E1(eV)	delta_E2(eV)	delta_E3_HOO(eV)	delta_E4_HOO(eV)	delta_E3_HOO2(eV)	delta_E4_HOO2(eV)	delta_E_HOO−HO(eV)	delta_E_HOO2−HO(eV)			-14.21651 	-6.77026 								
Sn_d	-0.69953904 	-12.60155079 	-8.78050621 	-16.73656461 	-16.73544477 	-1.07063175 	-0.634717170000001 	 2.24060443 	 5.20564557 	 2.24172426999999 	 5.20452573 	 3.31123618 	 3.31235601999999 			-1.07063175 	 0.435914579999999 	 2.8753216 	 2.67939557 			 2.18939557 	 2.8753216 	 1.7653216 	-1.7653216 
Sr_sv	-0.02824817 	-12.14187134 	-6.91815675 	-16.26285306 	-16.3277738 	-1.28224317 	 0.556341419999999 	 2.04302510999999 	 5.40322489 	 1.97810437 	 5.46814563 	 3.32526827999999 	 3.26034754 			-1.28224317 	 1.83858459 	 1.48668368999999 	 2.87697489000001 			 2.38697489000001 	 2.87697489000001 	 1.76697489000001 	-1.76697489000001 
Ta	-3.4864869 	-16.77880663 	-14.32919265 	-27.55791489 	-27.55882688 	-2.46093972999999 	-3.39645575 	-5.79379799 	 13.24004799 	-5.79470998 	 13.24095998 	-3.33285826 	-3.33377025 			-2.46093972999999 	-0.93551602000001 	-2.39734224 	 10.71379799 			 10.22379799 	 10.71379799 	 9.60379799 	-9.60379799 
Tc_pv	-3.35116746 	-15.1137564 	-11.65361361 	-23.79089072 	-23.79715373 	-0.931208940000001 	-0.856196150000002 	-2.16209326 	 9.60834326 	-2.16835627 	 9.61460627 	-1.23088432 	-1.23714733 			-0.931208940000001 	 7.50127899999989E-02 	-1.30589711 	 7.08209326 			 6.59209326 	 7.08209326 	 5.97209326 	-5.97209326 
Ti	-2.45024607 	-15.32528231 	-12.06183116 	-24.88571682 	-24.88647098 	-2.04365624 	-2.16533509 	-4.15784075 	 11.60409075 	-4.15859491 	 11.60484491 	-2.11418451 	-2.11493867 			-2.04365624 	-0.12167885 	-1.99250566 	 9.07784075 			 8.58784075 	 9.07784075 	 7.96784075 	-7.96784075 
Ti_pv	-2.51386004 	-15.4244852 	-12.35829357 	-25.23674048 	-25.23697942 	-2.07924515999999 	-2.39818353 	-4.44525044 	 11.89150044 	-4.44548938 	 11.89173938 	-2.36600528 	-2.36624422 			-2.07924515999999 	-0.31893837000001 	-2.04706691 	 9.36525044 			 8.87525044 	 9.36525044 	 8.25525044 	-8.25525044 
Ti_sv	-2.39924115 	-15.45732831 	-12.42093538 	-25.32464949 	-25.32114775 	-2.22670716 	-2.57544423 	-4.64777833999999 	 12.0940283399999 	-4.6442766 	 12.0905266 	-2.42107117999999 	-2.41756944 			-2.22670716 	-0.34873707 	-2.07233410999999 	 9.56777833999999 			 9.07777833999999 	 9.56777833999999 	 8.45777833999999 	-8.45777833999999 
V_sv	-3.59549276 	-16.15471294 	-12.87169335 	-25.11840316 	-25.39529208 	-1.72784018 	-1.82995058999999 	-3.2452804 	 10.6915304 	-3.52216932 	 10.96841932 	-1.51744022 	-1.79432914 			-1.72784018 	-0.10211040999999 	-1.41532981000001 	 8.1652804 			 7.6752804 	 8.1652804 	 7.0552804 	-7.0552804 
W_sv	-4.57143451 	-16.59003334 	-14.05867231 	-26.98669068 	-26.98485232 	-1.18721883 	-2.0409878 	-4.13762617 	 11.58387617 	-4.13578781 	 11.58203781 	-2.95040733999999 	-2.94856898 			-1.18721883 	-0.85376897 	-2.09663837 	 9.05762617 			 8.56762617 	 9.05762617 	 7.94762617 	-7.94762617 
Y_sv	-2.15753516 	-15.87896396 	-12.07574494 	-24.60861417 	-24.60895471 	-2.8900488 	-2.47195978 	-4.17344901 	 11.6196990099999 	-4.17378954999999 	 11.6200395499999 	-1.28340021 	-1.28374074999999 			-2.8900488 	 0.41808902 	-1.70148923 	 9.09344901 						
Zn	-0.01074647 	-9.73822972 	-3.81753833 	-13.72140092 	-13.87142614 	 1.10389675 	 3.63945813999999 	 4.56697554999999 	 2.87927445 	 4.41695032999999 	 3.02929967 	 3.46307879999999 	 3.31305357999999 			 1.10389675 	 2.53556138999999 	 0.92751741 	 0.35302445000001 						
Zr_sv	-2.24452922 	-15.68762367 	-12.86156589 	-26.09075325 	-26.09127878 	-2.61171445 	-3.17078667 	-5.56859403 	 13.0148440299999 	-5.56911956 	 13.01536956 	-2.95687957999999 	-2.95740511 			-2.61171445 	-0.55907222 	-2.39780736 	 10.48859403 						
