element	E_M	E_HO	E_O	E_HOO	E_HOO2	delta_E1(eV)	delta_E2(eV)	delta_E3_HOO(eV)	delta_E4_HOO(eV)	delta_E3_HOO2(eV)	delta_E4_HOO2(eV)	delta_E_HOO−HO(eV)	delta_E_HOO2−HO(eV)									
Pt_pv	-0.19369689 	-11.3579165 	-6.53304213 	-15.60078986 	-15.59063446 	-0.33283961 	 1.10690475999999 	 2.87053702999999 	 4.57571297 	 2.88069242999999 	 4.56555757 	 3.20337663999999 	 3.21353203999999 			-0.33283961 	 1.43974436999999 	 1.76363227 	 1.55946297000001 	 1.76363227 	 0.65363227 	-0.65363227 
Re	-1.03139573 	-13.80153323 	-11.58097151 	-24.0045064 	-24.00411783 	-1.9387575 	-3.10332578 	-4.69548067 	 12.14173067 	-4.6950921 	 12.1413421 	-2.75672317 	-2.75633459999999 			-1.9387575 	-1.16456828 	-1.59215489 	 9.12548067 	 9.12548067 	 8.01548067 	-8.01548067 
Rh	-0.97985001 	-11.98797404 	-7.38011666 	-16.32350621 	-16.48519063 	-0.17674403 	 1.04598334999999 	 2.93397379999999 	 4.5122762 	 2.77228937999999 	 4.67396062 	 3.11071782999999 	 2.94903340999999 			-0.17674403 	 1.22272737999999 	 1.88799045 	 1.49602620000001 	 1.88799045 	 0.77799045 	-0.77799045 
Rh_pv	-0.99976276 	-11.99263739 	-7.40038292 	-16.33683297 	-16.49839955 	-0.161494630000001 	 1.04562983999999 	 2.94055978999999 	 4.50569021 	 2.77899320999999 	 4.66725679 	 3.10205442 	 2.94048784 			-0.161494630000001 	 1.20712446999999 	 1.89492995 	 1.48944021000001 	 1.89492995 	 0.78492995 	-0.78492995 
Ru	-0.49795076 	-12.29019454 	-8.66802814 	-17.21823657 	-21.40310776 	-0.96086378 	-0.723827380000001 	 1.55734418999999 	 5.88890580999999 	-2.627527 	 10.073777 	 2.51820796999999 	-1.66666322 			-0.96086378 	 0.237036399999999 	 2.28117156999999 	 2.87265581000001 	 2.87265581000001 	 1.76265581000001 	-1.76265581000001 
Ru_pv	-0.50888552 	-12.32246866 	-8.76701049 	-17.30979295 	-21.42260013 	-0.982203140000001 	-0.811874970000001 	 1.47672256999999 	 5.96952742999999 	-2.63608461 	 10.08233461 	 2.45892571 	-1.65388147 			-0.982203140000001 	 0.17032817 	 2.28859753999999 	 2.95327743000001 	 2.95327743000001 	 1.84327743000001 	-1.84327743000001 
Ru_sv	-0.55352588 	-12.3950742 	-8.8700225 	-17.42091256 	-21.54454064 	-1.01016832 	-0.870246619999999 	 1.41024331999999 	 6.03600668 	-2.71338476 	 10.15963476 	 2.42041163999999 	-1.70321644 			-1.01016832 	 0.139921700000001 	 2.28048993999999 	 3.01975668000001 	 3.01975668000001 	 1.90975668000001 	-1.90975668000001 
Sb	-0.09284828 	-11.74692503 	-7.76457719 	-15.93000823 	-15.73674481 	-0.82269675 	-0.22547891 	 2.44047004999999 	 5.00577995 	 2.63373346999999 	 4.81251653 	 3.26316679999999 	 3.45643021999999 			-0.82269675 	 0.59721784 	 2.66594895999999 	 1.98952995000001 	 2.66594895999999 	 1.55594895999999 	-1.55594895999999 
Sc_sv	-1.76819813 	-14.87219831 	-11.38020478 	-24.02061133 	-24.02083956 	-2.27262018 	-2.16575665 	-3.9747832 	 11.4210332 	-3.97501142999999 	 11.42126143 	-1.70216302 	-1.70239124999999 			-2.27262018 	 0.10686353 	-1.80902655 	 8.4047832 	 8.4047832 	 7.2947832 	-7.2947832 
Sn	-0.07567813 	-12.05517015 	-8.52494091 	-17.82019883 	-17.81950945 	-1.14811202 	-1.00301278 	 0.533109299999999 	 6.9131407 	 0.533798679999996 	 6.91245132 	 1.68122132 	 1.68191069999999 			-1.14811202 	 0.14509924 	 1.53612208 	 3.8968907 	 3.8968907 	 2.7868907 	-2.7868907 
Sn_d	-0.09845436 	-12.05956578 	-8.51220642 	-17.80277498 	-17.8020714 	-1.12973142 	-0.967502060000001 	 0.573309380000001 	 6.87294062 	 0.574012960000001 	 6.87223704 	 1.7030408 	 1.70374438 			-1.12973142 	 0.162229359999999 	 1.54081144 	 3.85669062 	 3.85669062 	 2.74669062 	-2.74669062 
Sr_sv	-0.02888256 	-11.75934671 	-6.69006641 	-15.60877836 	-15.67841423 	-0.899084150000002 	 0.785066149999998 	 2.69773419999999 	 4.7485158 	 2.62809832999999 	 4.81815167 	 3.59681834999999 	 3.52718248 			-0.899084150000002 	 1.6841503 	 1.91266804999999 	 1.73226580000001 	 1.91266804999999 	 0.802668049999992 	-0.802668049999992 
Ta	-2.24448877 	-15.69071828 	-13.63075792 	-26.8643668 	-26.86518482 	-2.61484951 	-3.94001915 	-6.34224803 	 13.78849803 	-6.34306605 	 13.78931605 	-3.72739851999999 	-3.72821654 			-2.61484951 	-1.32516964 	-2.40222888 	 10.77224803 	 10.77224803 	 9.66224803 	-9.66224803 
Tc_pv	-0.26856997 	-12.78457259 	-10.2660966 	-23.00561882 	-23.00546064 	-1.68462262 	-2.55127663 	-4.45941884999999 	 11.90566885 	-4.45926066999999 	 11.90551067 	-2.77479622999999 	-2.77463804999999 			-1.68462262 	-0.86665401 	-1.90814221999999 	 8.88941884999999 	 8.88941884999999 	 7.77941884999999 	-7.77941884999999 
Ti	-1.13643548 	-14.19532812 	-11.00812758 	-23.99908047 	-24.00057525 	-2.22751264 	-2.4254421 	-4.58501499 	 12.03126499 	-4.58650977 	 12.03275977 	-2.35750235 	-2.35899713 			-2.22751264 	-0.19792946 	-2.15957289 	 9.01501499 	 9.01501499 	 7.90501499 	-7.90501499 
Ti_pv	-1.24585687 	-14.39463897 	-11.34226577 	-24.36006672 	-24.36157973 	-2.3174021 	-2.6501589 	-4.83657985 	 12.2828298499999 	-4.83809286 	 12.2843428599999 	-2.51917774999999 	-2.52069075999999 			-2.3174021 	-0.3327568 	-2.18642095 	 9.26657985 	 9.26657985 	 8.15657985 	-8.15657985 
Ti_sv	-1.3204383 	-14.44879802 	-11.42567573 	-24.4538196 	-24.45486878 	-2.29697972 	-2.65898743 	-4.8557513 	 12.3020013 	-4.85680048 	 12.30305048 	-2.55877158 	-2.55982076 			-2.29697972 	-0.36200771 	-2.19676387 	 9.2857513 	 9.2857513 	 8.1757513 	-8.1757513 
V_sv	-0.87091695 	-13.84569468 	-11.04863012 	-23.89808875 	-23.89742622 	-2.14339773 	-2.73146317 	-4.74954179999999 	 12.1957918 	-4.74887927 	 12.19512927 	-2.60614406999999 	-2.60548153999999 			-2.14339773 	-0.58806544 	-2.01807862999999 	 9.17954179999999 	 9.17954179999999 	 8.06954179999999 	-8.06954179999999 
W_sv	-1.66717655 	-14.80383473 	-12.8819645 	-25.60615343 	-25.60628139 	-2.30527818 	-3.76853795 	-5.66134688 	 13.10759688 	-5.66147484 	 13.10772484 	-3.3560687 	-3.35619666 			-2.30527818 	-1.46325977 	-1.89280893 	 10.09134688 	 10.09134688 	 8.98134688 	-8.98134688 
Y_sv	-1.94006263 	-15.5596646 	-11.63281129 	-24.09309194 	-24.09224088 	-2.78822197 	-2.24649866 	-3.87539931 	 11.32164931 	-3.87454825 	 11.32079825 	-1.08717734 	-1.08632627999999 			-2.78822197 	 0.54172331 	-1.62890065 	 8.30539931 	 8.30539931 	 7.19539931 	-7.19539931 
Zn	-0.01041567 	-9.23451778 	-3.56010259 	-13.17263978 	-13.17132284 	 1.60727789 	 3.89656307999999 	 5.11540588999999 	 2.33084411 	 5.11672282999999 	 2.32952717 	 3.50812799999999 	 3.50944493999999 			 1.60727789 	 2.28928518999999 	 1.21884281 	-0.68540588999999 	 2.28928518999999 	 1.17928518999999 	-1.17928518999999 
Zr_sv	-1.40265595 	-14.96097645 	-12.24493368 	-25.23958544 	-25.24124813 	-2.7269405 	-3.39602773 	-5.55929949 	 13.00554949 	-5.56096218 	 13.00721218 	-2.83235898999999 	-2.83402167999999 			-2.7269405 	-0.66908723 	-2.16327176 	 9.98929949 	 9.98929949 	 8.87929949 	-8.87929949 
