element	E_M	E_HO	E_O	E_HOO	E_HOO2	delta_E1(eV)	delta_E2(eV)	delta_E3_HOO(eV)	delta_E4_HOO(eV)	delta_E3_HOO2(eV)	delta_E4_HOO2(eV)	delta_E_HOO−HO(eV)	delta_E_HOO2−HO(eV)									
Pt	-0.1865349 	-11.64746721 	-6.77693957 	-16.15085264 	-16.16448071 	-0.629552310000001 	 0.855845329999999 	 2.31331225999999 	 5.13293774 	 2.29968418999999 	 5.14656581 	 2.94286456999999 	 2.9292365 			-0.629552310000001 	 1.48539764 	 1.45746692999999 	 2.11668774000001 	 2.11668774000001 	 1.00668774000001 	-1.00668774000001 
Pt_pv	-0.17981507 	-11.69197753 	-6.86323289 	-16.21046876 	-16.22149966 	-0.680782460000001 	 0.762832179999999 	 2.24697630999999 	 5.19927369 	 2.23594540999999 	 5.21030459 	 2.92775876999999 	 2.91672787 			-0.680782460000001 	 1.44361464 	 1.48414412999999 	 2.18302369000001 	 2.18302369000001 	 1.07302369000001 	-1.07302369000001 
Re	-1.06123795 	-14.13728361 	-11.93136202 	-24.68884258 	-24.68720835 	-2.24466566 	-3.42387407 	-5.34997463 	 12.79622463 	-5.3483404 	 12.7945903999999 	-3.10530897 	-3.10367474 			-2.24466566 	-1.17920841 	-1.92610056 	 9.77997463 	 9.77997463 	 8.66997463 	-8.66997463 
Rh	-0.94761004 	-12.27976877 	-7.6854047 	-17.05737437 	-17.05818317 	-0.50077873 	 0.708455339999998 	 2.16786566999999 	 5.27838433 	 2.16705686999999 	 5.27919312999999 	 2.66864439999999 	 2.6678356 			-0.50077873 	 1.20923407 	 1.45941032999999 	 2.26213433000001 	 2.26213433000001 	 1.15213433000001 	-1.15213433000001 
Rh_pv	-0.96689785 	-12.28770657 	-7.70578326 	-16.91432241 	-17.07403731 	-0.489428719999999 	 0.707364589999999 	 2.33020543999999 	 5.11604456 	 2.17049053999999 	 5.27575946 	 2.81963415999999 	 2.65991925999999 			-0.489428719999999 	 1.19679331 	 1.62284084999999 	 2.09979456000001 	 2.09979456000001 	 0.98979456000001 	-0.98979456000001 
Ru	-0.47133381 	-12.58672968 	-8.98837296 	-17.7649691 	-22.09058318 	-1.28401586999999 	-1.07078914999999 	 0.983994710000001 	 6.46225528999999 	-3.34161937 	 10.78786937 	 2.26801058 	-2.0576035 			-1.28401586999999 	 0.21322672 	 2.05478385999999 	 3.44600529 	 3.44600529 	 2.33600529 	-2.33600529 
Ru_pv	-0.48154151 	-12.62224826 	-9.09226601 	-17.86046284 	-22.11155396 	-1.30932675 	-1.1644745 	 0.898708669999997 	 6.54754133 	-3.35238245 	 10.79863245 	 2.20803541999999 	-2.0430557 			-1.30932675 	 0.14485225 	 2.06318317 	 3.53129133 	 3.53129133 	 2.42129133 	-2.42129133 
Ru_sv	-0.52602316 	-12.69606198 	-9.19831634 	-17.97330003 	-22.23703305 	-1.33865882 	-1.22604318 	 0.830353129999998 	 6.61589687 	-3.43337989 	 10.87962989 	 2.16901195 	-2.09472107 			-1.33865882 	 0.11261564 	 2.05639631 	 3.59964687 	 3.59964687 	 2.48964687 	-2.48964687 
Sb	-0.09276114 	-12.0264798 	-8.03601351 	-16.42984645 	-16.2566516 	-1.10233866 	-0.49700237 	 1.94054468999999 	 5.50570531 	 2.11373953999999 	 5.33251046 	 3.04288335 	 3.21607819999999 			-1.10233866 	 0.60533629 	 2.43754705999999 	 2.48945531000001 	 2.48945531000001 	 1.37945531000001 	-1.37945531000001 
Sc_sv	-1.77581872 	-15.17033954 	-11.63814823 	-24.54227378 	-24.54296005 	-2.56314082 	-2.41607951 	-4.48882506 	 11.9350750599999 	-4.48951133 	 11.93576133 	-1.92568423999999 	-1.92637051 			-2.56314082 	 0.14706131 	-2.07274555 	 8.91882506 	 8.91882506 	 7.80882506 	-7.80882506 
Sn	-0.07704514 	-12.32401234 	-8.79129783 	-16.49441349 	-18.33628317 	-1.4155872 	-1.26800269 	 1.86026164999999 	 5.58598835 	 1.83919699999961E-02 	 7.42785803 	 3.27584884999999 	 1.43397916999999 			-1.4155872 	 0.14758451 	 3.12826433999999 	 2.56973835000001 	 3.12826433999999 	 2.01826433999999 	-2.01826433999999 
Sn_d	-0.09992565 	-12.32917519 	-8.78050555 	-16.49808337 	-18.32356155 	-1.39786954 	-1.2343299 	 1.87947227999999 	 5.56677772 	 0.053994099999997 	 7.3922559 	 3.27734182 	 1.45186363999999 			-1.39786954 	 0.16353964 	 3.11380217999999 	 2.55052772000001 	 3.11380217999999 	 2.00380217999999 	-2.00380217999999 
Sr_sv	-0.02824815 	-11.98492033 	-6.91815675 	-16.17141892 	-16.17023648 	-1.12529218 	 0.556341399999999 	 2.13445922999999 	 5.31179077 	 2.13564166999999 	 5.31060833 	 3.25975140999999 	 3.26093384999999 			-1.12529218 	 1.68163358 	 1.57811782999999 	 2.29554077000001 	 2.29554077000001 	 1.18554077000001 	-1.18554077000001 
Ta	-2.2288841 	-16.00398317 	-13.9669338 	-27.51789799 	-27.51843542 	-2.94371907 	-4.2917997 	-7.01138389 	 14.45763389 	-7.01192132 	 14.4581713199999 	-4.06766481999999 	-4.06820225 			-2.94371907 	-1.34808063 	-2.71958419 	 11.44138389 	 11.44138389 	 10.33138389 	-10.33138389 
Tc_pv	-0.20359473 	-13.08498064 	-10.59981831 	-23.66020872 	-23.65853521 	-2.05000590999999 	-2.94997358 	-5.17898399 	 12.62523399 	-5.17731048 	 12.62356048 	-3.12897808 	-3.12730457 			-2.05000590999999 	-0.89996767000001 	-2.22901041 	 9.60898399 	 9.60898399 	 8.49898399 	-8.49898399 
Ti	-1.13129524 	-14.49319102 	-11.29036375 	-24.57202912 	-24.57219974 	-2.53051578 	-2.71281851 	-5.16310388 	 12.60935388 	-5.1632745 	 12.6095245 	-2.6325881 	-2.63275872 			-2.53051578 	-0.18230273 	-2.45028537 	 9.59310388 	 9.59310388 	 8.48310388 	-8.48310388 
Ti_pv	-1.22965401 	-14.68552414 	-11.6281061 	-24.93566587 	-24.93634652 	-2.62449013 	-2.95220209 	-5.42838186 	 12.87463186 	-5.42906251 	 12.87531251 	-2.80389173 	-2.80457237999999 			-2.62449013 	-0.32771196 	-2.47617977 	 9.85838186 	 9.85838186 	 8.74838186 	-8.74838186 
Ti_sv	-1.27555796 	-14.73586069 	-11.7093644 	-25.02563498 	-25.02651353 	-2.62892273 	-2.98755644 	-5.47244702 	 12.91869702 	-5.47332557 	 12.91957557 	-2.84352428999999 	-2.84440283999999 			-2.62892273 	-0.35863371 	-2.48489058 	 9.90244702 	 9.90244702 	 8.79244702 	-8.79244702 
V_sv	-0.801621 	-14.13140627 	-11.31675731 	-24.49017472 	-24.48909375 	-2.49840526999999 	-3.06888631 	-5.41092371999999 	 12.8571737199999 	-5.40984274999999 	 12.8560927499999 	-2.91251845 	-2.91143748 			-2.49840526999999 	-0.57048104000001 	-2.34203740999999 	 9.84092371999999 	 9.84092371999999 	 8.73092371999999 	-8.73092371999999 
W_sv	-1.6802239 	-15.13557355 	-13.21439592 	-26.24547052 	-26.24488116 	-2.62396965 	-4.08792202 	-6.28761662 	 13.73386662 	-6.28702725999999 	 13.73327726 	-3.66364697 	-3.66305760999999 			-2.62396965 	-1.46395237 	-2.1996946 	 10.71761662 	 10.71761662 	 9.60761662 	-9.60761662 
Y_sv	-1.94973156 	-15.8762572 	-11.89683074 	-24.60872793 	-24.60869044 	-3.09514564 	-2.50084918 	-4.38136637 	 11.82761637 	-4.38132888 	 11.82757888 	-1.28622073 	-1.28618324 			-3.09514564 	 0.59429646 	-1.88051719 	 8.81136637 	 8.81136637 	 7.70136637 	-7.70136637 
Zn	-0.01074649 	-9.48231876 	-3.79947235 	-13.67149766 	-13.66951236 	 1.35980773 	 3.65752413999999 	 4.61687882999999 	 2.82937117 	 4.61886412999999 	 2.82738587 	 3.25707109999999 	 3.25905639999999 			 1.35980773 	 2.29771640999999 	 0.959354690000001 	-0.186878829999991 	 2.29771640999999 	 1.18771640999999 	-1.18771640999999 
Zr_sv	-1.3870828 	-15.27626219 	-12.57571821 	-25.82435029 	-25.82565741 	-3.05779939 	-3.74238541 	-6.15963749 	 13.60588749 	-6.16094461 	 13.60719461 	-3.1018381 	-3.10314522 			-3.05779939 	-0.68458602 	-2.41725208 	 10.58963749 	 10.58963749 	 9.47963749 	-9.47963749 
