element	E_M	E_HO	E_O	E_HOO	E_HOO2	delta_E1(eV)	delta_E2(eV)	delta_E3_HOO(eV)	delta_E4_HOO(eV)	delta_E3_HOO2(eV)	delta_E4_HOO2(eV)	delta_E_HOO−HO(eV)	delta_E_HOO2−HO(eV)									
Pt	-0.5558782 	-11.87948822 	-7.48487187 	-16.35255778 	-16.35724193 	-0.49223002 	 0.517256329999998 	 2.48095041999999 	 4.96529958 	 2.47626626999999 	 4.96998373 	 2.97318043999999 	 2.96849628999999 			-0.49223002 	 1.00948635 	 1.96369408999999 	 1.94904958000001 	 1.96369408999999 	 0.853694089999992 	-0.853694089999992 
Pt_pv	-0.59602688 	-11.92530697 	-7.56292371 	-16.40911114 	-16.41191375 	-0.497900089999999 	 0.479353169999999 	 2.46454573999999 	 4.98170426 	 2.46174312999999 	 4.98450687 	 2.96244582999999 	 2.95964321999999 			-0.497900089999999 	 0.977253259999998 	 1.98519256999999 	 1.96545426000001 	 1.98519256999999 	 0.875192569999991 	-0.875192569999991 
Re	-4.609365 	-16.08954948 	-12.29592839 	-25.48551755 	-25.48264387 	-0.648804479999999 	-0.24031339 	-2.59852255 	 10.04477255 	-2.59564887 	 10.04189887 	-1.94971807 	-1.94684439 			-0.648804479999999 	 0.408491089999999 	-2.35820916 	 7.02852255 	 7.02852255 	 5.91852255 	-5.91852255 
Rh	-1.2963336 	-12.85787813 	-8.67101895 	-17.38876961 	-17.41736567 	-0.730164529999999 	 7.15646499999991E-02 	 2.18519398999999 	 5.26105601 	 2.15659793 	 5.28965206999999 	 2.91535851999999 	 2.88676246 			-0.730164529999999 	 0.801729179999998 	 2.11362933999999 	 2.24480601000001 	 2.24480601000001 	 1.13480601000001 	-1.13480601000001 
Rh_pv	-1.49197836 	-12.83931058 	-8.67426435 	-17.38590587 	-17.41163535 	-0.515952219999999 	 0.263964009999999 	 2.38370249 	 5.06254750999999 	 2.35797300999999 	 5.08827699 	 2.89965471 	 2.87392522999999 			-0.515952219999999 	 0.779916229999998 	 2.11973848 	 2.04629751 	 2.11973848 	 1.00973848 	-1.00973848 
Ru	-2.47317028 	-13.86248951 	-10.12088711 	-18.49236026 	-21.87796069 	-0.55793923 	-0.201466830000001 	 2.25844001999999 	 5.18780998 	-1.12716040999999 	 8.57341040999999 	 2.81637924999999 	-0.569221179999997 			-0.55793923 	 0.356472399999999 	 2.45990684999999 	 2.17155998000001 	 2.45990684999999 	 1.34990684999999 	-1.34990684999999 
Ru_pv	-2.47427937 	-13.88232114 	-10.14851596 	-18.52075737 	-22.22992392 	-0.576661770000001 	-0.22798659 	 2.231152 	 5.21509799999999 	-1.47801455 	 8.92426455 	 2.80781377 	-0.901352779999999 			-0.576661770000001 	 0.348675180000001 	 2.45913859 	 2.198848 	 2.45913859 	 1.34913859 	-1.34913859 
Ru_sv	-2.53612545 	-13.95781912 	-10.2453253 	-18.60816955 	-22.02673461 	-0.59031367 	-0.26294985 	 2.20558589999999 	 5.2406641 	-1.21297915999999 	 8.65922915999999 	 2.79589956999999 	-0.622665489999999 			-0.59031367 	 0.32736382 	 2.46853574999999 	 2.22441410000001 	 2.46853574999999 	 1.35853574999999 	-1.35853574999999 
Sb	-1.43056383 	-12.632324 	-8.18533942 	-16.63968949 	-16.66453953 	-0.37038017 	 0.691474409999999 	 3.06850434 	 4.37774565999999 	 3.0436543 	 4.40259569999999 	 3.43888451 	 3.41403447 			-0.37038017 	 1.06185458 	 2.37702993 	 1.36149566 	 2.37702993 	 1.26702993 	-1.26702993 
Sc_sv	-2.03360495 	-15.28131569 	-11.82450168 	-24.50972845 	-24.50913402 	-2.41633073999999 	-2.34464673 	-4.1984935 	 11.6447435 	-4.19789907 	 11.64414907 	-1.78216276 	-1.78156833 			-2.41633073999999 	 0.07168400999999 	-1.85384677 	 8.6284935 	 8.6284935 	 7.5184935 	-7.5184935 
